Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,,127.6,129.8727273,132.4863636,135.2818182,138.1386364,141.0431818,144,146.9431818,149.7954545,152.4954545,154.9727273,157.2181818,159.2409091,161.0863636,162.7477273,164.2840909,165.625,166.6454545,167.1090909,166.9136364,166.0590909,164.6545455,162.8159091,160.7386364,158.5954545,156.3840909,154.1931818,152.4045455,151.425,151.5818182,152.9704545,155.5159091,158.95,162.9977273,167.3159091,171.8818182,176.6795455,181.4795455,185.9795455,189.9636364,193.3113636,196.0590909,198.3931818,200.5840909,202.8477273,205.2295455,207.6840909,210.1772727,212.6840909,215.1386364,217.5431818,219.9477273,222.3272727,224.7159091,227.0977273,229.4613636,231.8454545,
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,85.81132235,86.3388714,86.8952652,87.47639864,88.04660935,88.66633567,89.33153306,89.79659724,90.10722935,90.42245096,90.8268588,91.35627271,91.86382901,92.02031969,91.77649552,91.61449504,91.64967304,91.57550254,91.41953257,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.456383,100.7713458,101.0356656,101.2874302,101.6417364,102.1148654,102.7471302,103.5633242,104.7307927,105.8694934,106.6074453,
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,,48.4314503,50.1270774,51.85392408,53.55503082,55.18836295,56.73750556,58.20769795,59.60603002,60.94824375,62.24719709,63.50303424,64.71354411,65.88898903,67.04251535,68.18483002,69.32146076,70.45596453,71.59509475,72.74529243,73.9120372,75.09667496,76.30121249,77.53314827,78.80102623,80.10929257,81.45731041,82.83764135,84.23802829,85.64224858,86.02809522,87.37397407,88.70783406,90.06572965,91.29144071,92.34891692,93.28622538,94.19048771,95.23178903,96.52076658,97.43477998,98.19378742,98.91246693,99.62372121,100.4753702,101.5225018,102.6725292,103.8533638,106.05976,108.2912879,109.5423494,110.9763389,112.4607929,113.9234754,115.3488166,116.7310795,118.033289,119.1972058,
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,,110.5788941,112.6818146,114.8725078,117.2452882,119.8549844,122.7695872,125.9354751,129.1367991,132.077609,134.5640966,136.5027648,138.0080607,139.3492991,140.9106308,142.9709502,145.6253505,148.8003894,152.405296,156.2815421,160.3121885,164.454634,168.7455607,173.2370717,178.0098131,183.1022586,188.5344626,194.2264798,199.9982866,205.6084112,210.8806464,215.811838,220.449338,224.7429128,228.6451324,232.1673676,235.2457944,238.0100078,240.9015576,244.5070093,249.248676,255.2892913,262.5221573,270.759852,279.6904595,289.0688863,298.8838785,309.1734034,319.7922118,330.569743,341.3913551,352.1615265,362.9170561,373.8390187,385.1943146,397.1678349,409.8176402,423.0625,
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.9046565,
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,,21.86827776,22.19666548,22.55107308,22.93335403,23.34476765,23.78644023,24.25777758,24.75691735,25.28078219,25.82777581,26.39741043,26.99154842,27.61329372,28.26722242,28.95676658,29.68404576,30.44908656,31.25166726,32.09051082,32.96528024,33.87839659,34.83251153,35.82785562,36.86430472,37.94342852,39.06089039,40.22049486,41.44068819,42.74579638,44.15125931,45.66778113,47.28452465,48.9691646,50.67594892,52.37280951,54.04628414,55.70804363,57.38085314,59.09984037,60.88995211,62.75924973,64.69842143,66.69523767,68.73008159,70.78950869,72.87066336,74.98040972,77.12766939,79.3251685,81.58264455,83.90211068,86.2820149,88.72340369,91.22660518,93.79169918,96.41981199,99.11042923,
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,,17.88954678,18.12984649,18.37653874,18.63629386,18.91399854,19.21185307,19.52857822,19.86126096,20.20531433,20.55774854,20.9187902,21.29083699,21.67574196,22.07617325,22.49468202,22.93142178,23.38792032,23.86995249,24.3847076,24.93729167,25.53055556,26.16321272,26.83079313,27.5264693,28.24527412,28.98645468,29.7517288,30.54205044,31.35900219,32.20407164,33.0777924,33.98067617,34.91402047,35.87934211,36.87820906,37.91207968,38.98225877,40.0903655,41.23794225,42.4266886,43.65711623,44.93092105,46.25226974,47.62634868,49.0567617,50.54523757,52.09072003,53.69051901,55.34027412,57.03661184,58.77888889,60.56730994,62.40030336,64.27623173,66.19380117,68.1521674,70.15125,
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,,380.9848813,392.0268649,403.5677729,415.8339095,428.9316893,443.0589998,458.0215795,473.0696243,487.1890144,499.7139894,510.292264,519.3014519,527.7036568,536.8704002,547.7907582,560.7984635,575.600338,591.7941615,608.7176462,625.880464,643.1686871,660.7308212,678.6374894,697.0297457,715.9857494,735.5184067,755.5028732,775.7188369,795.8764078,815.7689329,835.272582,854.4360298,873.435807,892.5425751,911.9372436,931.625144,951.483752,971.4063532,991.2398479,1010.841538,1030.246293,1049.402067,1067.980341,1085.561105,1101.875248,1116.755043,1130.361765,1143.165199,1155.832435,1168.849213,1182.391611,1196.335968,1210.503895,1224.593063,1238.387386,1251.836521,1265.036114,
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,,71.79895146,72.43013649,73.01947935,73.61782518,74.15861882,74.64572901,75.11729187,75.65400886,76.23765706,76.73844346,77.16166501,77.52146796,77.92612311,78.44838651,78.82800325,79.17019796,79.58223809,79.67126458,79.77890265,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18005711,
