country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bolivia,1360000,1400000,1430000,1470000,1510000,1560000,1600000,1650000,1690000,1740000,1790000,1840000,1900000,1950000,2010000,2070000,2130000,2220000,2320000,2430000,2540000,2650000,2770000,2890000,3010000,3140000,3270000,3400000,3530000,3670000,3810000,3960000,4100000,4220000,4350000,4480000,4610000,4740000,4880000,5010000,5150000,5290000,5430000,5570000,5710000,5860000,6000000,6140000,6290000,6440000,6590000,6740000,6890000,7040000,7190000,7330000,7480000,7630000
Bosnia and Herzegovina,614000,647000,685000,725000,766000,807000,848000,890000,933000,977000,1020000,1070000,1110000,1160000,1200000,1250000,1290000,1340000,1390000,1430000,1490000,1530000,1560000,1590000,1620000,1650000,1680000,1710000,1740000,1750000,1750000,1730000,1690000,1640000,1600000,1570000,1550000,1560000,1570000,1580000,1600000,1610000,1620000,1640000,1650000,1660000,1670000,1680000,1690000,1690000,1700000,1690000,1690000,1680000,1670000,1670000,1670000,1680000
Botswana,16100,16600,17300,17900,19300,22900,27300,32400,38600,45900,54500,64700,72000,79800,88400,98100,109000,121000,134000,149000,165000,182000,210000,242000,278000,318000,362000,410000,462000,518000,578000,642000,676000,707000,738000,769000,799000,830000,860000,890000,920000,949000,971000,993000,1020000,1040000,1060000,1110000,1160000,1210000,1260000,1310000,1350000,1400000,1440000,1480000,1530000,1570000
Brazil,33300000,35000000,36800000,38700000,40600000,42600000,44600000,46700000,48900000,51100000,53300000,55600000,58000000,60400000,62900000,65400000,68100000,70800000,73500000,76400000,79300000,82300000,85400000,88500000,91600000,94800000,97900000,101000000,104000000,107000000,110000000,114000000,117000000,120000000,123000000,126000000,129000000,132000000,136000000,139000000,142000000,145000000,148000000,150000000,152000000,155000000,157000000,159000000,162000000,164000000,166000000,168000000,170000000,172000000,175000000,177000000,179000000,181000000
Brunei,35500,38700,42100,45800,49700,53900,58500,63300,68600,74100,79900,86100,90600,94900,99300,104000,108000,113000,117000,122000,126000,130000,134000,139000,143000,147000,152000,157000,162000,167000,172000,177000,184000,190000,197000,204000,211000,217000,224000,231000,237000,244000,250000,256000,262000,267000,272000,277000,282000,286000,291000,297000,302000,308000,314000,320000,326000,331000
Bulgaria,2920000,3080000,3240000,3410000,3580000,3750000,3900000,4030000,4170000,4300000,4440000,4560000,4670000,4780000,4910000,5020000,5130000,5230000,5320000,5400000,5500000,5570000,5630000,5690000,5740000,5790000,5820000,5860000,5900000,5860000,5790000,5760000,5730000,5700000,5700000,5700000,5690000,5670000,5650000,5640000,5630000,5540000,5450000,5430000,5420000,5410000,5390000,5380000,5370000,5360000,5350000,5340000,5330000,5330000,5320000,5310000,5300000,5280000
Burkina Faso,227000,235000,243000,251000,260000,269000,279000,289000,300000,311000,323000,335000,348000,362000,376000,391000,418000,458000,501000,548000,601000,659000,722000,793000,869000,953000,1020000,1060000,1110000,1160000,1220000,1270000,1330000,1390000,1460000,1530000,1600000,1690000,1810000,1940000,2070000,2210000,2370000,2530000,2700000,2890000,3090000,3280000,3460000,3650000,3840000,4050000,4270000,4500000,4740000,4990000,5250000,5520000
Burundi,57900,60100,62300,64700,67200,70600,75500,80900,86600,92500,98300,104000,110000,116000,122000,129000,138000,147000,157000,168000,179000,190000,203000,216000,230000,245000,262000,280000,299000,319000,340000,358000,376000,394000,412000,430000,448000,466000,484000,505000,528000,555000,585000,619000,656000,696000,738000,783000,831000,881000,933000,987000,1040000,1100000,1160000,1230000,1300000,1380000
Cambodia,589000,605000,623000,649000,675000,700000,724000,809000,901000,1000000,1120000,1340000,1590000,1880000,2190000,337000,357000,373000,388000,406000,662000,860000,901000,955000,1010000,1070000,1130000,1190000,1260000,1320000,1390000,1480000,1560000,1650000,1750000,1840000,1940000,2040000,2130000,2190000,2260000,2320000,2380000,2430000,2490000,2540000,2600000,2660000,2720000,2810000,2900000,3000000,3110000,3220000,3330000,3440000,3560000,3680000
Cameroon,721000,766000,813000,864000,918000,975000,1040000,1100000,1170000,1250000,1330000,1450000,1580000,1720000,1870000,2040000,2200000,2330000,2460000,2600000,2750000,2910000,3080000,3260000,3440000,3640000,3850000,4060000,4250000,4440000,4650000,4850000,5060000,5280000,5500000,5730000,5960000,6200000,6440000,6690000,6960000,7230000,7520000,7820000,8130000,8460000,8800000,9150000,9520000,9900000,10300000,10700000,11100000,11600000,12000000,12500000,12900000,13400000
Canada,12400000,12700000,13100000,13500000,13900000,14300000,14800000,15100000,15500000,15800000,16100000,16500000,16700000,17000000,17200000,17500000,17800000,18000000,18200000,18400000,18600000,18900000,19100000,19400000,19600000,19800000,20000000,20300000,20600000,21000000,21300000,21600000,21900000,22200000,22500000,22800000,23100000,23500000,23800000,24100000,24500000,24800000,25100000,25300000,25600000,25900000,26100000,26400000,26800000,27200000,27500000,27900000,28200000,28500000,28900000,29100000,29500000,29900000
Cape Verde,33700,34900,36300,38000,39800,41800,44000,46400,48800,51000,52800,54300,55500,56400,57300,58400,59700,61200,63000,65000,67400,72900,78900,85300,92200,99200,108000,118000,128000,139000,151000,158000,165000,173000,181000,190000,198000,207000,215000,224000,232000,241000,249000,258000,266000,274000,281000,289000,296000,303000,311000,317000,323000,329000,336000,343000,350000,357000
Central African Republic,302000,317000,333000,350000,369000,388000,408000,430000,453000,478000,503000,529000,556000,584000,613000,645000,672000,694000,718000,744000,772000,803000,835000,869000,903000,936000,967000,998000,1030000,1060000,1080000,1110000,1150000,1180000,1210000,1250000,1280000,1320000,1350000,1380000,1410000,1450000,1480000,1510000,1540000,1570000,1600000,1640000,1670000,1700000,1730000,1750000,1770000,1780000,1800000,1830000,1870000,1910000
Chad,201000,213000,226000,240000,256000,278000,302000,329000,357000,388000,421000,459000,500000,542000,588000,636000,687000,741000,798000,822000,848000,875000,904000,936000,970000,1010000,1050000,1090000,1140000,1190000,1240000,1290000,1350000,1400000,1450000,1500000,1560000,1610000,1670000,1740000,1810000,1880000,1950000,2030000,2110000,2190000,2280000,2360000,2440000,2520000,2610000,2710000,2810000,2920000,3040000,3150000,3280000,3410000
Chile,5230000,5420000,5600000,5790000,5980000,6180000,6380000,6580000,6790000,6990000,7190000,7390000,7590000,7790000,7990000,8180000,8370000,8570000,8760000,8950000,9150000,9350000,9550000,9720000,9890000,10100000,10200000,10400000,10600000,10800000,11000000,11200000,11400000,11600000,11900000,12100000,12300000,12500000,12700000,12900000,13100000,13300000,13500000,13700000,13900000,14000000,14200000,14300000,14500000,14600000,14800000,14900000,15100000,15200000,15400000,15500000,15700000,15800000
China,108000000,110000000,115000000,121000000,128000000,129000000,132000000,134000000,137000000,140000000,142000000,145000000,148000000,152000000,156000000,159000000,162000000,165000000,171000000,180000000,190000000,200000000,211000000,220000000,230000000,240000000,251000000,263000000,275000000,288000000,300000000,314000000,329000000,343000000,358000000,373000000,389000000,404000000,421000000,437000000,453000000,472000000,492000000,512000000,533000000,554000000,575000000,596000000,616000000,637000000,658000000,679000000,699000000,720000000,740000000,761000000,782000000,804000000
Colombia,7630000,8100000,8600000,9120000,9670000,10100000,10600000,11000000,11500000,12000000,12500000,13000000,13500000,13900000,14400000,14900000,15400000,16000000,16500000,17100000,17700000,18300000,18900000,19500000,20100000,20800000,21400000,22000000,22600000,23200000,23800000,24400000,25000000,25700000,26300000,26900000,27500000,28100000,28700000,29300000,29900000,30500000,31100000,31700000,32300000,32900000,33500000,34100000,34700000,35200000,35800000,36400000,36900000,37400000,38000000,38500000,39000000,39500000
Comoros,24000,25900,28000,30200,32600,35200,38100,39600,41200,42900,44600,46300,48100,50000,52200,54600,57500,60700,64200,67800,71500,75100,78800,82500,86400,90500,94900,99500,104000,109000,115000,120000,124000,128000,131000,135000,138000,142000,145000,149000,152000,156000,159000,163000,167000,170000,175000,179000,183000,188000,193000,198000,204000,209000,215000,221000,228000,234000
"Congo, Dem. Rep.",3400000,3520000,3650000,3780000,3920000,4070000,4230000,4390000,4560000,4740000,4920000,5110000,5300000,5490000,5700000,5910000,6140000,6380000,6630000,6880000,7140000,7390000,7650000,7910000,8180000,8520000,8880000,9250000,9660000,10100000,10600000,11200000,11800000,12400000,13000000,13700000,14200000,14800000,15300000,15900000,16500000,17200000,18000000,18800000,19600000,20500000,21500000,22500000,23500000,24600000,25800000,27000000,28300000,29700000,31100000,32600000,34100000,35700000
"Congo, Rep.",328000,344000,361000,379000,398000,418000,439000,461000,484000,508000,534000,562000,591000,621000,653000,688000,724000,760000,799000,839000,881000,924000,970000,1020000,1070000,1110000,1150000,1190000,1240000,1280000,1330000,1370000,1420000,1470000,1520000,1580000,1640000,1700000,1760000,1830000,1890000,1960000,2030000,2100000,2180000,2270000,2360000,2460000,2570000,2670000,2770000,2880000,2970000,3070000,3170000,3270000,3380000,3500000
Costa Rica,457000,474000,493000,514000,541000,569000,598000,627000,657000,687000,718000,749000,780000,811000,839000,867000,897000,928000,961000,995000,1030000,1070000,1100000,1140000,1180000,1240000,1300000,1360000,1420000,1480000,1550000,1620000,1690000,1760000,1840000,1920000,1990000,2080000,2160000,2240000,2320000,2410000,2510000,2600000,2700000,2790000,2880000,2980000,3070000,3170000,3260000,3350000,3440000,3530000,3610000,3700000,3780000,3850000
Cote d'Ivoire,629000,699000,776000,862000,957000,1060000,1130000,1210000,1290000,1380000,1480000,1590000,1710000,1840000,1970000,2130000,2330000,2540000,2760000,2910000,3050000,3210000,3370000,3540000,3700000,3880000,4050000,4230000,4410000,4610000,4830000,5050000,5280000,5510000,5750000,5990000,6240000,6480000,6730000,6970000,7200000,7420000,7640000,7850000,8070000,8290000,8540000,8790000,9060000,9350000,9660000,9980000,10300000,10700000,11000000,11400000,11800000,12200000
Croatia,1250000,1290000,1340000,1400000,1450000,1500000,1550000,1610000,1660000,1720000,1770000,1830000,1860000,1900000,1940000,1980000,2020000,2050000,2090000,2130000,2170000,2210000,2240000,2260000,2290000,2320000,2340000,2370000,2390000,2420000,2440000,2320000,2310000,2400000,2420000,2440000,2360000,2410000,2380000,2420000,2360000,2380000,2390000,2400000,2400000,2410000,2420000,2420000,2430000,2440000,2440000,2370000,2370000,2370000,2370000,2360000,2350000,2340000
Cuba,4170000,4270000,4380000,4490000,4610000,4720000,4830000,4930000,5040000,5140000,5250000,5410000,5580000,5750000,5910000,6060000,6210000,6340000,6470000,6580000,6700000,6810000,6890000,6970000,7060000,7150000,7260000,7390000,7520000,7640000,7760000,7860000,7920000,7990000,8040000,8100000,8160000,8220000,8280000,8340000,8400000,8450000,8500000,8540000,8570000,8590000,8610000,8630000,8640000,8660000,8680000,8710000,8740000,8770000,8790000,8810000,8830000,8840000
Cyprus,204000,209000,212000,215000,218000,222000,227000,232000,238000,244000,250000,256000,263000,272000,289000,307000,326000,345000,364000,383000,402000,419000,436000,443000,448000,455000,464000,474000,486000,498000,512000,526000,541000,555000,569000,582000,595000,609000,622000,635000,648000,660000,671000,681000,691000,702000,712000,723000,734000,743000,752000,758000,763000,768000,772000,777000,783000,788000
Czech Republic,5720000,5760000,5830000,5900000,5990000,6060000,6140000,6210000,6270000,6330000,6350000,6420000,6560000,6710000,6870000,7030000,7190000,7340000,7490000,7630000,7750000,7770000,7780000,7790000,7790000,7790000,7790000,7790000,7800000,7800000,7770000,7750000,7740000,7740000,7730000,7710000,7690000,7660000,7640000,7620000,7590000,7550000,7530000,7520000,7510000,7520000,7530000,7570000,7620000,7660000,7670000,7680000,7690000,7710000,7720000,7750000,7770000,7800000
Denmark,3370000,3430000,3490000,3550000,3610000,3670000,3720000,3780000,3830000,3880000,3930000,3980000,4030000,4080000,4120000,4160000,4190000,4220000,4250000,4270000,4290000,4300000,4300000,4300000,4310000,4310000,4320000,4340000,4340000,4350000,4360000,4370000,4390000,4410000,4420000,4450000,4470000,4490000,4510000,4530000,4540000,4560000,4580000,4600000,4620000,4650000,4680000,4710000,4750000,4790000,4820000,4840000,4870000,4900000,4930000,4970000,5020000,5060000
Djibouti,42100,45500,49600,54100,59100,64500,70400,76700,83600,90900,98600,106000,115000,124000,136000,151000,169000,192000,216000,239000,259000,274000,285000,293000,303000,319000,341000,369000,400000,427000,448000,462000,468000,471000,475000,481000,491000,505000,520000,535000,549000,561000,572000,582000,591000,601000,612000,622000,633000,644000,655000,667000,680000,692000,705000,718000,731000,743000
Dominica,22700,23100,23500,23900,24400,24800,25400,25900,26500,27000,27500,28200,28900,29500,30100,30800,31600,32500,33500,34400,35200,36000,37200,38300,39300,40300,41200,42100,42900,43800,44700,45700,45800,46000,46200,46300,46200,46000,45800,45600,45500,45600,45900,46300,46700,47000,47400,47700,48000,48300,48600,49000,49500,49900,50400,50900,51400,51900
Dominican Republic,995000,1060000,1130000,1200000,1280000,1360000,1440000,1530000,1620000,1720000,1810000,1920000,2020000,2130000,2240000,2360000,2470000,2590000,2720000,2850000,2980000,3110000,3220000,3310000,3400000,3500000,3590000,3680000,3780000,3870000,3970000,4070000,4160000,4270000,4400000,4550000,4690000,4840000,4990000,5140000,5290000,5440000,5600000,5790000,6010000,6220000,6440000,6650000,6870000,7090000,7300000,7500000,7700000,7890000,8080000,8270000,8460000,8640000
Ecuador,1540000,1610000,1690000,1760000,1840000,1920000,2010000,2100000,2190000,2290000,2390000,2490000,2590000,2700000,2820000,2960000,3110000,3260000,3420000,3580000,3750000,3920000,4100000,4270000,4450000,4630000,4820000,5020000,5210000,5420000,5630000,5830000,6020000,6210000,6410000,6610000,6810000,7010000,7210000,7410000,7610000,7810000,7990000,8150000,8310000,8480000,8650000,8820000,9000000,9180000,9360000,9540000,9710000,9890000,10100000,10200000,10400000,10600000
Egypt,10200000,10600000,11000000,11400000,11800000,12300000,12700000,13100000,13600000,14100000,14500000,15000000,15500000,16000000,16500000,17000000,17500000,18000000,18400000,18900000,19300000,19800000,20400000,20900000,21500000,22100000,22700000,23300000,23900000,24400000,25000000,25500000,25900000,26400000,26800000,27300000,27700000,28200000,28800000,29300000,29900000,30500000,31100000,31800000,32400000,33000000,33700000,34300000,34900000,35500000,36200000,36900000,37700000,38500000,39300000,40100000,40900000,41700000
El Salvador,1060000,1100000,1130000,1170000,1210000,1240000,1280000,1320000,1360000,1410000,1450000,1490000,1550000,1600000,1660000,1720000,1780000,1840000,1900000,1960000,2020000,2080000,2130000,2190000,2240000,2300000,2350000,2410000,2470000,2530000,2590000,2650000,2720000,2810000,2920000,3030000,3130000,3240000,3340000,3400000,3460000,3510000,3570000,3620000,3670000,3720000,3770000,3820000,3890000,3960000,4030000,4110000,4180000,4250000,4330000,4400000,4470000,4550000
Equatorial Guinea,65200,67700,68900,70200,71700,73500,75800,78300,80700,82300,82600,81600,79400,76500,73600,71200,69400,68100,67700,68600,71200,75500,81500,88500,98100,107000,116000,124000,132000,140000,148000,158000,167000,178000,189000,204000,221000,239000,258000,279000,302000,325000,350000,377000,406000,437000,471000,507000,545000,585000,627000,671000,717000,754000,792000,830000,869000,908000
Eritrea,137000,145000,153000,162000,172000,182000,193000,204000,212000,221000,230000,239000,249000,259000,269000,280000,292000,304000,316000,329000,343000,358000,373000,388000,406000,434000,464000,496000,529000,560000,589000,613000,633000,651000,671000,696000,726000,762000,803000,850000,902000,960000,1020000,1090000,1160000,1230000,1300000,1370000,1440000,1490000,1540000,1600000,,,,,,
Estonia,697000,714000,733000,753000,774000,794000,813000,829000,846000,865000,883000,902000,919000,936000,951000,966000,980000,995000,1010000,1020000,1030000,1040000,1050000,1060000,1070000,1080000,1090000,1100000,1120000,1120000,1120000,1110000,1090000,1060000,1030000,1010000,992000,979000,967000,967000,969000,961000,953000,946000,938000,931000,924000,918000,914000,910000,907000,902000,899000,898000,897000,900000,902000,904000
Ethiopia,1420000,1510000,1600000,1690000,1790000,1900000,2010000,2130000,2230000,2330000,2440000,2560000,2690000,2820000,2960000,3080000,3200000,3310000,3410000,3530000,3670000,3830000,4020000,4220000,4440000,4670000,4920000,5180000,5460000,5750000,6070000,6410000,6770000,7160000,7550000,7920000,8290000,8650000,9020000,9410000,9810000,10200000,10700000,11100000,11600000,12000000,12500000,13100000,13700000,14400000,15200000,16000000,16800000,17600000,18500000,19400000,20300000,21300000
Fiji,117000,123000,130000,137000,144000,151000,158000,164000,170000,175000,181000,187000,193000,199000,205000,212000,218000,223000,228000,234000,240000,247000,254000,262000,269000,274000,278000,284000,290000,296000,303000,312000,321000,332000,342000,353000,363000,371000,377000,383000,389000,393000,397000,401000,405000,410000,416000,423000,431000,440000,449000,457000,465000,472000,480000,488000,496000,505000
Finland,2450000,2510000,2570000,2620000,2680000,2720000,2770000,2820000,2870000,2910000,2930000,2980000,3030000,3090000,3140000,3200000,3240000,3290000,3340000,3380000,3430000,3480000,3540000,3600000,3660000,3720000,3770000,3810000,3860000,3910000,3960000,4000000,4040000,4070000,4110000,4140000,4160000,4190000,4210000,4230000,4250000,4270000,4290000,4310000,4330000,4350000,4370000,4400000,4430000,4450000,4490000,4540000,4590000,4630000,4650000,4670000,4690000,4700000
France,29000000,29700000,30600000,31600000,32600000,33600000,34500000,35300000,36000000,36500000,37000000,37500000,38100000,38600000,39100000,39600000,39800000,40000000,40200000,40400000,40600000,40800000,41000000,41300000,41500000,41800000,42100000,42400000,42700000,43000000,43300000,43500000,43800000,44100000,44300000,44600000,44900000,45100000,45400000,45700000,46200000,46700000,47200000,47700000,48200000,48700000,49200000,49700000,50100000,50500000,51000000,51400000,51800000,52200000,52700000,53000000,53400000,53800000
Gabon,86800,92400,99900,108000,117000,127000,137000,149000,161000,175000,189000,205000,222000,240000,259000,279000,301000,323000,347000,372000,399000,426000,448000,470000,494000,518000,543000,570000,599000,628000,658000,689000,721000,753000,783000,812000,843000,874000,905000,938000,971000,1010000,1040000,1080000,1120000,1160000,1200000,1250000,1300000,1350000,1400000,1460000,1520000,1580000,1640000,1700000,1750000,1800000
Gambia,44600,46500,48100,50000,54000,58300,63000,68200,73900,80200,87200,94900,104000,112000,120000,127000,135000,143000,152000,161000,172000,183000,195000,209000,224000,242000,261000,282000,305000,328000,351000,374000,397000,419000,440000,462000,485000,509000,535000,561000,590000,620000,652000,685000,717000,751000,787000,823000,861000,901000,942000,985000,1030000,1080000,1120000,1170000,1220000,1270000
